Провод,Наружный диаметр,Минимальный радиус изгиба,Диапазон рабочих температур,Ссылка,Расшифровка
"МГШВЭ-2 2х0,5","5,2 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshve-2/mgshve-2-2h0-5,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  2 жилы  номинальное сечение жилы 0,5 мм2  "
"МГШВЭ-2 2х0,75","5,8 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshve-2/mgshve-2-2h0-75,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  2 жилы  номинальное сечение жилы 0,75 мм2  "
"МГШВЭ-2 3х0,35","4,9 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshve-2/mgshve-2-3h0-35,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  3 жилы  номинальное сечение жилы 0,35 мм2  "
"МГШВЭ-2 3х0,5","5,4 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshve-2/mgshve-2-3h0-5,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  3 жилы  номинальное сечение жилы 0,5 мм2  "
"МГШВЭ-2 3х0,75","6,8 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshve-2/mgshve-2-3h0-75,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  3 жилы  номинальное сечение жилы 0,75 мм2  "
"МГШВЭВ 0,12","2,9 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92%D0%AD%D0%92+0%2C12,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  Э: экран  В: оболочка из ПВХ пластиката  0,12: номинальное сечение жилы 0,12 мм2  "
"МГШВЭВ 0,14","3,0 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92%D0%AD%D0%92+0%2C14,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  Э: экран  В: оболочка из ПВХ пластиката  0,14: номинальное сечение жилы 0,14 мм2  "
"МГШВЭВ 0,35","3,5 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92%D0%AD%D0%92+0%2C35,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  Э: экран  В: оболочка из ПВХ пластиката  0,35: номинальное сечение жилы 0,35 мм2  "
"МГШВЭВ-2 0,12","2,9 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshvev-2/mgshvev-2-0-12,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  оболочка из ПВХ пластиката  номинальное сечение жилы 0,12 мм2  "
"МГШВЭВ-2 0,35","3,5 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshvev-2/mgshvev-2-0-35,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  экран  оболочка из ПВХ пластиката  номинальное сечение жилы 0,35 мм2  "
"МПО 0,12","1,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C12,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 0,2","1,3 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C2,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 0,35","1,6 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C35,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 0,5","1,8 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 0,75","2,0 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C75,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 1,0","2,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+1%2C0,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 1,5","2,5 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+1%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 2,5","3,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+2%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  2,5: номинальное сечение жилы 2,5 мм2  "
"МПО 23-11 0,12","1,2 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C12,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 23-11 0,2","1,4 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C2,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 23-11 0,35","1,6 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C35,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 23-11 0,5","1,7 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C5,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 23-11 0,75","1,9 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C75,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 23-11 1,0","2,0 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+1%2C0,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 23-11 1,5","2,2 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+1%2C5,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 33-11 0,12","1,3 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C12,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 33-11 0,2","1,5 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C2,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 33-11 0,35","1,6 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C35,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 33-11 0,5","2,2 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C5,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 33-11 0,75","2,5 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C75,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 33-11 1,0","2,6 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+1%2C0,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 33-11 1,5","2,9 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+1%2C5,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 4,0","3,8 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+4%2C0,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  4,0: номинальное сечение жилы 4,0 мм2  "
"МПО 6,0","4,4 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+6%2C0,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  6,0: номинальное сечение жилы 6,0 мм2  "
"МС 15-11 0,08","0,8 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+0%2C08,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  0,08: номинальное сечение жилы 0,08 мм2  "
"МС 15-11 0,12","0,9 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+0%2C12,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МС 15-11 0,2","1,1 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+0%2C2,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МС 15-11 0,35","1,3 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+0%2C35,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МС 15-11 0,5","1,4 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+0%2C5,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МС 15-11 2х0,08","1,6 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+2%D1%850%2C08,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  2: 2 жилы  0,08: номинальное сечение жилы 0,08 мм2  "
"МС 15-11 2х0,12","1,8 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+2%D1%850%2C12,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  2: 2 жилы  0,12: номинальное сечение жилы 0,12 мм2  "
"МС 15-11 2х0,2","2,1 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+2%D1%850%2C2,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  2: 2 жилы  0,2: номинальное сечение жилы 0,2 мм2  "
"МС 15-11 2х0,35","2,6 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+2%D1%850%2C35,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  2: 2 жилы  0,35: номинальное сечение жилы 0,35 мм2  "
"МС 15-11 2х0,5","2,8 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-11+2%D1%850%2C5,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  1: номер разработки  2: 2 жилы  0,5: номинальное сечение жилы 0,5 мм2  "
"МС 15-18 0,08","0,7 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+0%2C08,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  0,08: номинальное сечение жилы 0,08 мм2  "
"МС 15-18 0,12","0,8 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+0%2C12,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МС 15-18 0,2","1,0 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+0%2C2,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МС 15-18 0,35","1,2 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+0%2C35,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МС 15-18 0,5","1,3 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+0%2C5,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МС 15-18 2х0,12","1,6 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+2%D1%850%2C12,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  2: 2 жилы  0,12: номинальное сечение жилы 0,12 мм2  "
"МС 15-18 2х0,35","2,4 мм","2,5 наружных диаметра",−60...+155 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+15-18+2%D1%850%2C35,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  5: максимальная температура 155 °C  1: жила нормальной прочности  8: номер разработки  2: 2 жилы  0,35: номинальное сечение жилы 0,35 мм2  "
"МС 16-12 0,08","0,6 мм",5 наружных диаметров,−150...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-12+0%2C08,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  2: номер разработки  0,08: номинальное сечение жилы 0,08 мм2  "
"МС 16-12 0,12","0,7 мм",5 наружных диаметров,−150...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-12+0%2C12,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  2: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МС 16-12 0,2","0,8 мм",5 наружных диаметров,−150...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-12+0%2C2,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  2: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МС 16-12 0,35","1,0 мм",5 наружных диаметров,−150...+200 °C,https://bystrokabel.ru/item/ms-16-12/ms-16-12-0-35,"М: провод монтажный  С: сплошная изоляция  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  2: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МС 16-13 0,03","0,6 мм","2,5 наружных диаметра",−60...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-13+0%2C03,"М: провод монтажный  С: сплошная изоляция из спекаемой плёнки  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  3: номер разработки  0,03: номинальное сечение жилы 0,03 мм2  "
"МС 16-13 0,05","0,7 мм","2,5 наружных диаметра",−60...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-13+0%2C05,"М: провод монтажный  С: сплошная изоляция из спекаемой плёнки  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  3: номер разработки  0,05: номинальное сечение жилы 0,05 мм2  "
"МС 16-13 0,08","0,8 мм","2,5 наружных диаметра",−60...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-13+0%2C08,"М: провод монтажный  С: сплошная изоляция из спекаемой плёнки  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  3: номер разработки  0,08: номинальное сечение жилы 0,08 мм2  "
"МС 16-13 0,12","0,9 мм","2,5 наружных диаметра",−60...+200 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%A1+16-13+0%2C12,"М: провод монтажный  С: сплошная изоляция из спекаемой плёнки  1: номинальное напряжение 100 В  6: максимальная температура 200 °C  1: жила нормальной прочности  3: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
